support,itemsets
0.0034658511722731908,"frozenset({'Machines', 'Chairs'})"
0.026299694189602447,"frozenset({'Paper', 'Chairs'})"
0.017737003058103974,"frozenset({'Phones', 'Chairs'})"
0.01692150866462793,"frozenset({'Storage', 'Chairs'})"
0.003873598369011213,"frozenset({'Chairs', 'Supplies'})"
0.006320081549439347,"frozenset({'Tables', 'Chairs'})"
0.003873598369011213,"frozenset({'Paper', 'Copiers'})"
0.006320081549439347,"frozenset({'Envelopes', 'Furnishings'})"
0.011620795107033639,"frozenset({'Paper', 'Envelopes'})"
0.00815494393476045,"frozenset({'Envelopes', 'Phones'})"
0.007543323139653415,"frozenset({'Envelopes', 'Storage'})"
0.00815494393476045,"frozenset({'Fasteners', 'Furnishings'})"
0.0030581039755351682,"frozenset({'Fasteners', 'Labels'})"
0.011620795107033639,"frozenset({'Fasteners', 'Paper'})"
0.007135575942915392,"frozenset({'Fasteners', 'Phones'})"
0.007339449541284404,"frozenset({'Fasteners', 'Storage'})"
0.011213047910295617,"frozenset({'Labels', 'Furnishings'})"
0.005504587155963303,"frozenset({'Machines', 'Furnishings'})"
0.03425076452599388,"frozenset({'Paper', 'Furnishings'})"
0.029357798165137616,"frozenset({'Phones', 'Furnishings'})"
0.0273190621814475,"frozenset({'Storage', 'Furnishings'})"
0.0061162079510703364,"frozenset({'Supplies', 'Furnishings'})"
0.008970438328236493,"frozenset({'Tables', 'Furnishings'})"
0.015902140672782873,"frozenset({'Paper', 'Labels'})"
0.011620795107033639,"frozenset({'Labels', 'Phones'})"
0.012028542303771662,"frozenset({'Labels', 'Storage'})"
0.0034658511722731908,"frozenset({'Labels', 'Supplies'})"
0.0034658511722731908,"frozenset({'Labels', 'Tables'})"
0.005708460754332314,"frozenset({'Paper', 'Machines'})"
0.004485219164118246,"frozenset({'Machines', 'Phones'})"
0.004281345565749235,"frozenset({'Machines', 'Storage'})"
0.0344546381243629,"frozenset({'Paper', 'Phones'})"
0.03567787971457696,"frozenset({'Paper', 'Storage'})"
0.008970438328236493,"frozenset({'Paper', 'Supplies'})"
0.011009174311926606,"frozenset({'Paper', 'Tables'})"
0.023649337410805302,"frozenset({'Phones', 'Storage'})"
0.004485219164118246,"frozenset({'Phones', 'Supplies'})"
0.010601427115188583,"frozenset({'Tables', 'Phones'})"
0.0061162079510703364,"frozenset({'Storage', 'Supplies'})"
0.009785932721712538,"frozenset({'Tables', 'Storage'})"
0.004077471967380225,"frozenset({'Binders', 'Accessories', 'Appliances'})"
0.004892966360856269,"frozenset({'Paper', 'Accessories', 'Appliances'})"
0.005708460754332314,"frozenset({'Binders', 'Accessories', 'Art'})"
0.0034658511722731908,"frozenset({'Accessories', 'Art', 'Furnishings'})"
0.005912334352701326,"frozenset({'Paper', 'Accessories', 'Art'})"
0.0030581039755351682,"frozenset({'Accessories', 'Phones', 'Art'})"
0.0030581039755351682,"frozenset({'Binders', 'Accessories', 'Chairs'})"
0.006523955147808359,"frozenset({'Binders', 'Accessories', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Labels', 'Binders', 'Accessories'})"
0.007747196738022426,"frozenset({'Paper', 'Binders', 'Accessories'})"
0.007543323139653415,"frozenset({'Binders', 'Accessories', 'Phones'})"
0.00835881753312946,"frozenset({'Binders', 'Accessories', 'Storage'})"
0.004689092762487258,"frozenset({'Paper', 'Accessories', 'Chairs'})"
0.006320081549439347,"frozenset({'Paper', 'Accessories', 'Furnishings'})"
0.005504587155963303,"frozenset({'Accessories', 'Phones', 'Furnishings'})"
0.003669724770642202,"frozenset({'Accessories', 'Storage', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Paper', 'Labels', 'Accessories'})"
0.0061162079510703364,"frozenset({'Paper', 'Accessories', 'Phones'})"
0.005912334352701326,"frozenset({'Paper', 'Accessories', 'Storage'})"
0.004281345565749235,"frozenset({'Accessories', 'Phones', 'Storage'})"
0.004077471967380225,"frozenset({'Binders', 'Art', 'Appliances'})"
0.0032619775739041795,"frozenset({'Paper', 'Art', 'Appliances'})"
0.0032619775739041795,"frozenset({'Art', 'Phones', 'Appliances'})"
0.0030581039755351682,"frozenset({'Binders', 'Chairs', 'Appliances'})"
0.00672782874617737,"frozenset({'Binders', 'Appliances', 'Furnishings'})"
0.008970438328236493,"frozenset({'Paper', 'Binders', 'Appliances'})"
0.004892966360856269,"frozenset({'Binders', 'Phones', 'Appliances'})"
0.0061162079510703364,"frozenset({'Storage', 'Binders', 'Appliances'})"
0.004485219164118246,"frozenset({'Paper', 'Appliances', 'Furnishings'})"
0.004281345565749235,"frozenset({'Phones', 'Appliances', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Storage', 'Appliances', 'Furnishings'})"
0.0050968399592252805,"frozenset({'Paper', 'Phones', 'Appliances'})"
0.004485219164118246,"frozenset({'Paper', 'Storage', 'Appliances'})"
0.005300713557594291,"frozenset({'Binders', 'Art', 'Chairs'})"
0.007135575942915392,"frozenset({'Binders', 'Art', 'Furnishings'})"
0.00835881753312946,"frozenset({'Paper', 'Binders', 'Art'})"
0.00835881753312946,"frozenset({'Binders', 'Art', 'Phones'})"
0.0061162079510703364,"frozenset({'Binders', 'Art', 'Storage'})"
0.004281345565749235,"frozenset({'Art', 'Chairs', 'Furnishings'})"
0.004689092762487258,"frozenset({'Paper', 'Art', 'Chairs'})"
0.0050968399592252805,"frozenset({'Art', 'Phones', 'Chairs'})"
0.004689092762487258,"frozenset({'Storage', 'Art', 'Chairs'})"
0.005504587155963303,"frozenset({'Paper', 'Art', 'Furnishings'})"
0.004892966360856269,"frozenset({'Art', 'Phones', 'Furnishings'})"
0.004485219164118246,"frozenset({'Art', 'Storage', 'Furnishings'})"
0.0030581039755351682,"frozenset({'Paper', 'Labels', 'Art'})"
0.0069317023445463815,"frozenset({'Paper', 'Art', 'Phones'})"
0.005912334352701326,"frozenset({'Paper', 'Art', 'Storage'})"
0.003669724770642202,"frozenset({'Art', 'Phones', 'Storage'})"
0.0030581039755351682,"frozenset({'Binders', 'Storage', 'Bookcases'})"
0.006523955147808359,"frozenset({'Binders', 'Chairs', 'Furnishings'})"
0.007543323139653415,"frozenset({'Paper', 'Binders', 'Chairs'})"
0.0050968399592252805,"frozenset({'Binders', 'Phones', 'Chairs'})"
0.005504587155963303,"frozenset({'Storage', 'Binders', 'Chairs'})"
0.003669724770642202,"frozenset({'Paper', 'Binders', 'Envelopes'})"
0.004281345565749235,"frozenset({'Fasteners', 'Binders', 'Furnishings'})"
0.003873598369011213,"frozenset({'Fasteners', 'Binders', 'Paper'})"
0.0030581039755351682,"frozenset({'Fasteners', 'Binders', 'Phones'})"
0.003873598369011213,"frozenset({'Fasteners', 'Binders', 'Storage'})"
0.003873598369011213,"frozenset({'Labels', 'Binders', 'Furnishings'})"
0.009785932721712538,"frozenset({'Paper', 'Binders', 'Furnishings'})"
0.007951070336391437,"frozenset({'Binders', 'Phones', 'Furnishings'})"
0.009582059123343527,"frozenset({'Binders', 'Storage', 'Furnishings'})"
0.003669724770642202,"frozenset({'Tables', 'Binders', 'Furnishings'})"
0.004485219164118246,"frozenset({'Paper', 'Labels', 'Binders'})"
0.004689092762487258,"frozenset({'Labels', 'Binders', 'Phones'})"
0.004281345565749235,"frozenset({'Labels', 'Binders', 'Storage'})"
0.010805300713557594,"frozenset({'Paper', 'Binders', 'Phones'})"
0.010601427115188583,"frozenset({'Paper', 'Binders', 'Storage'})"
0.0032619775739041795,"frozenset({'Paper', 'Tables', 'Binders'})"
0.00856269113149847,"frozenset({'Binders', 'Phones', 'Storage'})"
0.004281345565749235,"frozenset({'Tables', 'Binders', 'Phones'})"
0.0030581039755351682,"frozenset({'Tables', 'Binders', 'Storage'})"
0.004689092762487258,"frozenset({'Paper', 'Chairs', 'Furnishings'})"
0.004892966360856269,"frozenset({'Phones', 'Chairs', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Storage', 'Chairs', 'Furnishings'})"
0.004892966360856269,"frozenset({'Paper', 'Phones', 'Chairs'})"
0.005504587155963303,"frozenset({'Paper', 'Storage', 'Chairs'})"
0.0034658511722731908,"frozenset({'Storage', 'Phones', 'Chairs'})"
0.0030581039755351682,"frozenset({'Paper', 'Envelopes', 'Phones'})"
0.0030581039755351682,"frozenset({'Paper', 'Envelopes', 'Storage'})"
0.0032619775739041795,"frozenset({'Fasteners', 'Paper', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Paper', 'Labels', 'Furnishings'})"
0.007951070336391437,"frozenset({'Paper', 'Phones', 'Furnishings'})"
0.008766564729867482,"frozenset({'Paper', 'Storage', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Paper', 'Tables', 'Furnishings'})"
0.007543323139653415,"frozenset({'Phones', 'Storage', 'Furnishings'})"
0.0030581039755351682,"frozenset({'Tables', 'Phones', 'Furnishings'})"
0.0034658511722731908,"frozenset({'Paper', 'Labels', 'Phones'})"
0.004689092762487258,"frozenset({'Paper', 'Labels', 'Storage'})"
0.0030581039755351682,"frozenset({'Labels', 'Phones', 'Storage'})"
0.007543323139653415,"frozenset({'Paper', 'Phones', 'Storage'})"
0.0030581039755351682,"frozenset({'Binders', 'Phones', 'Storage', 'Furnishings'})"
0.0032619775739041795,"frozenset({'Paper', 'Binders', 'Phones', 'Storage'})"
